true_class,predicted_class,confidence,correct,style,image_path,top3_predictions
0,0,0.941596508026123,True,Colonial architecture,/app/data/processed/0/class_0_0000.jpg,"[(0, 0.941596508026123), (7, 0.00824346300214529), (19, 0.0031077158637344837)]"
1,1,0.8999956846237183,True,Art Deco architecture,/app/data/processed/1/class_1_0000.jpg,"[(1, 0.8999956846237183), (14, 0.017967257648706436), (5, 0.00670769764110446)]"
2,2,0.8943661451339722,True,American craftsman style,/app/data/processed/2/class_2_0000.jpg,"[(2, 0.8943661451339722), (13, 0.03810863196849823), (6, 0.008103452622890472)]"
3,3,0.9782498478889465,True,Romanesque architecture,/app/data/processed/3/class_3_0000.jpg,"[(3, 0.9782498478889465), (10, 0.004144641570746899), (0, 0.0014267881633713841)]"
4,4,0.8690229058265686,True,Russian Revival architecture,/app/data/processed/4/class_4_0000.jpg,"[(4, 0.8690229058265686), (7, 0.014966902323067188), (10, 0.007853079587221146)]"
5,5,0.9454004168510437,True,Achaemenid architecture,/app/data/processed/5/class_5_0000.jpg,"[(5, 0.9454004168510437), (0, 0.006763385608792305), (3, 0.005513942800462246)]"
6,6,0.9379281401634216,True,Queen Anne architecture,/app/data/processed/6/class_6_0000.jpg,"[(6, 0.9379281401634216), (0, 0.005560804158449173), (7, 0.003848834428936243)]"
7,7,0.9597373008728027,True,Baroque architecture,/app/data/processed/7/class_7_0000.jpg,"[(7, 0.9597373008728027), (3, 0.004008045420050621), (24, 0.0032912124879658222)]"
8,8,0.9404745697975159,True,Deconstructivism,/app/data/processed/8/class_8_0000.jpg,"[(8, 0.9404745697975159), (14, 0.005125872790813446), (1, 0.003925183787941933)]"
9,9,0.9812498688697815,True,Palladian architecture,/app/data/processed/9/class_9_0000.jpg,"[(9, 0.9812498688697815), (10, 0.002681147772818804), (7, 0.0022366007324308157)]"
10,10,0.8989472389221191,True,Byzantine architecture,/app/data/processed/10/class_10_0000.jpg,"[(10, 0.8989472389221191), (21, 0.013324958272278309), (1, 0.006947092246264219)]"
11,11,0.8978783488273621,True,Ancient Egyptian architecture,/app/data/processed/11/class_11_0000.jpg,"[(11, 0.8978783488273621), (18, 0.006491446401923895), (5, 0.0056865159422159195)]"
12,12,0.9045755863189697,True,International style,/app/data/processed/12/class_12_0000.jpg,"[(12, 0.9045755863189697), (8, 0.015145892277359962), (18, 0.012635241262614727)]"
13,13,0.9545483589172363,True,Tudor Revival architecture,/app/data/processed/13/class_13_0000.jpg,"[(13, 0.9545483589172363), (5, 0.003828603308647871), (21, 0.0034906920045614243)]"
14,14,0.9124706983566284,True,Art Nouveau architecture,/app/data/processed/14/class_14_0000.jpg,"[(14, 0.9124706983566284), (22, 0.015147370286285877), (1, 0.008731401525437832)]"
15,15,0.9943428039550781,True,American Foursquare architecture,/app/data/processed/15/class_15_0000.jpg,"[(15, 0.9943428039550781), (2, 0.001343758893199265), (23, 0.000784109637606889)]"
16,16,0.8220282196998596,True,Bauhaus architecture,/app/data/processed/16/class_16_0000.jpg,"[(16, 0.8220282196998596), (12, 0.030263280496001244), (17, 0.017936956137418747)]"
17,17,0.9282501935958862,True,Chicago school architecture,/app/data/processed/17/class_17_0000.jpg,"[(17, 0.9282501935958862), (22, 0.011814658530056477), (1, 0.005063872784376144)]"
18,18,0.9414351582527161,True,Postmodern architecture,/app/data/processed/18/class_18_0000.jpg,"[(18, 0.9414351582527161), (12, 0.014331711456179619), (3, 0.006357251200824976)]"
19,19,0.9034506678581238,True,Gothic architecture,/app/data/processed/19/class_19_0000.jpg,"[(19, 0.9034506678581238), (3, 0.009592271409928799), (20, 0.00504468334838748)]"
20,20,0.8741875886917114,True,Greek Revival architecture,/app/data/processed/20/class_20_0000.jpg,"[(20, 0.8741875886917114), (19, 0.0072082350961863995), (13, 0.0072080278769135475)]"
21,21,0.9428815841674805,True,Novelty architecture,/app/data/processed/21/class_21_0000.jpg,"[(21, 0.9428815841674805), (8, 0.004192948807030916), (23, 0.003918237518519163)]"
22,22,0.9577160477638245,True,Beaux-Arts architecture,/app/data/processed/22/class_22_0000.jpg,"[(22, 0.9577160477638245), (17, 0.00571506517007947), (3, 0.004955421667546034)]"
23,23,0.967660129070282,True,Georgian architecture,/app/data/processed/23/class_23_0000.jpg,"[(23, 0.967660129070282), (20, 0.004558627959340811), (17, 0.0028175809420645237)]"
24,24,0.9654806852340698,True,Edwardian architecture,/app/data/processed/24/class_24_0000.jpg,"[(24, 0.9654806852340698), (22, 0.004554068669676781), (3, 0.004162555560469627)]"
